Time_Index,Aquamarine_Westside
230,0.372
231,0.401
232,0.398
233,0.338
234,0.051
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0.013
250,0.175
251,0.26
252,0.303
253,0.328
254,0.372
255,0.401
256,0.398
257,0.338
258,0.051
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0.013
274,0.175
275,0.26
276,0.303
277,0.328
278,0.372
279,0.401
280,0.398
281,0.338
282,0.051
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0.013
298,0.175
299,0.26
300,0.303
301,0.328
302,0.372
303,0.401
304,0.398
305,0.338
306,0.051
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0.013
322,0.175
323,0.26
324,0.303
325,0.328
326,0.372
327,0.401
328,0.398
329,0.338
330,0.051
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0.013
346,0.175
347,0.26
348,0.303
349,0.328
350,0.372
351,0.401
352,0.398
353,0.338
354,0.051
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0.013
370,0.175
371,0.26
372,0.303
373,0.328
374,0.372
375,0.401
376,0.398
377,0.338
378,0.051
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0.013
394,0.175
395,0.26
396,0.303
397,0.328
398,0.372
399,0.401
400,0.398
401,0.338
402,0.051
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0.013
418,0.175
419,0.26
420,0.303
421,0.328
422,0.372
423,0.401
424,0.398
425,0.338
426,0.051
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0.013
442,0.175
443,0.26
444,0.303
445,0.328
446,0.372
447,0.401
448,0.398
449,0.338
450,0.051
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0.013
466,0.175
467,0.26
468,0.303
469,0.328
470,0.372
471,0.401
472,0.398
473,0.338
474,0.051
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0.013
490,0.175
491,0.26
492,0.303
493,0.328
494,0.372
495,0.401
496,0.398
497,0.338
498,0.051
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0.013
514,0.175
515,0.26
516,0.303
517,0.328
518,0.372
519,0.401
520,0.398
521,0.338
522,0.051
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0.013
538,0.175
539,0.26
540,0.303
541,0.328
542,0.372
543,0.401
544,0.398
545,0.338
546,0.051
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0.013
562,0.175
563,0.26
564,0.303
565,0.328
566,0.372
567,0.401
568,0.398
569,0.338
570,0.051
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0.013
586,0.175
587,0.26
588,0.303
589,0.328
590,0.372
591,0.401
592,0.398
593,0.338
594,0.051
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0.013
610,0.175
611,0.26
612,0.303
613,0.328
614,0.372
615,0.401
616,0.398
617,0.338
618,0.051
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0.013
634,0.175
635,0.26
636,0.303
637,0.328
638,0.372
639,0.401
640,0.398
641,0.338
642,0.051
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0.013
658,0.175
659,0.26
660,0.303
661,0.328
662,0.372
663,0.401
664,0.398
665,0.338
666,0.051
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0.013
682,0.175
683,0.26
684,0.303
685,0.328
686,0.372
687,0.401
688,0.398
689,0.338
690,0.051
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0.013
706,0.175
707,0.26
708,0.303
709,0.328
710,0.372
711,0.401
712,0.398
713,0.338
714,0.051
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0.013
730,0.175
731,0.26
732,0.303
733,0.328
734,0.372
735,0.401
736,0.398
737,0.338
738,0.051
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0.158
754,0.539
755,0.686
756,0.682
757,0.679
758,0.621
759,0.664
760,0.623
761,0.624
762,0.37
763,0.01
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0.158
778,0.539
779,0.686
780,0.682
781,0.679
782,0.621
783,0.664
784,0.623
785,0.624
786,0.37
787,0.01
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0.158
802,0.539
803,0.686
804,0.682
805,0.679
806,0.621
807,0.664
808,0.623
809,0.624
810,0.37
811,0.01
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0.158
826,0.539
827,0.686
828,0.682
829,0.679
830,0.621
831,0.664
832,0.623
833,0.624
834,0.37
835,0.01
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0.158
850,0.539
851,0.686
852,0.682
853,0.679
854,0.621
855,0.664
856,0.623
857,0.624
858,0.37
859,0.01
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0.158
874,0.539
875,0.686
876,0.682
877,0.679
878,0.621
879,0.664
880,0.623
881,0.624
882,0.37
883,0.01
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0.158
898,0.539
899,0.686
900,0.682
901,0.679
902,0.621
903,0.664
904,0.623
905,0.624
906,0.37
907,0.01
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0.158
922,0.539
923,0.686
924,0.682
925,0.679
926,0.621
927,0.664
928,0.623
929,0.624
930,0.37
931,0.01
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0.158
946,0.539
947,0.686
948,0.682
949,0.679
950,0.621
951,0.664
952,0.623
953,0.624
954,0.37
955,0.01
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0.158
970,0.539
971,0.686
972,0.682
973,0.679
974,0.621
975,0.664
976,0.623
977,0.624
978,0.37
979,0.01
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0.158
994,0.539
995,0.686
996,0.682
997,0.679
998,0.621
999,0.664
1000,0.623
1001,0.624
1002,0.37
1003,0.01
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0.158
1018,0.539
1019,0.686
1020,0.682
1021,0.679
1022,0.621
1023,0.664
1024,0.623
1025,0.624
1026,0.37
1027,0.01
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0.158
1042,0.539
1043,0.686
1044,0.682
1045,0.679
1046,0.621
1047,0.664
1048,0.623
1049,0.624
1050,0.37
1051,0.01
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0.158
1066,0.539
1067,0.686
1068,0.682
1069,0.679
1070,0.621
1071,0.664
1072,0.623
1073,0.624
1074,0.37
1075,0.01
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0.158
1090,0.539
1091,0.686
1092,0.682
1093,0.679
1094,0.621
1095,0.664
1096,0.623
1097,0.624
1098,0.37
1099,0.01
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0.158
1114,0.539
1115,0.686
1116,0.682
1117,0.679
1118,0.621
1119,0.664
1120,0.623
1121,0.624
1122,0.37
1123,0.01
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0.158
1138,0.539
1139,0.686
1140,0.682
1141,0.679
1142,0.621
1143,0.664
1144,0.623
1145,0.624
1146,0.37
1147,0.01
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0.158
1162,0.539
1163,0.686
1164,0.682
1165,0.679
1166,0.621
1167,0.664
1168,0.623
1169,0.624
1170,0.37
1171,0.01
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,0.158
1186,0.539
1187,0.686
1188,0.682
1189,0.679
1190,0.621
1191,0.664
1192,0.623
1193,0.624
1194,0.37
1195,0.01
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0.158
1210,0.539
1211,0.686
1212,0.682
1213,0.679
1214,0.621
1215,0.664
1216,0.623
1217,0.624
1218,0.37
1219,0.01
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0.158
1234,0.539
1235,0.686
1236,0.682
1237,0.679
1238,0.621
1239,0.664
1240,0.623
1241,0.624
1242,0.37
1243,0.01
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0
1256,0
1257,0.158
1258,0.539
1259,0.686
1260,0.682
1261,0.679
1262,0.621
1263,0.664
1264,0.623
1265,0.624
1266,0.37
1267,0.01
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0.158
1282,0.539
1283,0.686
1284,0.682
1285,0.679
1286,0.621
1287,0.664
1288,0.623
1289,0.624
1290,0.37
1291,0.01
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0.158
1306,0.539
1307,0.686
1308,0.682
1309,0.679
1310,0.621
1311,0.664
1312,0.623
1313,0.624
1314,0.37
1315,0.01
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0.158
1330,0.539
1331,0.686
1332,0.682
1333,0.679
1334,0.621
1335,0.664
1336,0.623
1337,0.624
1338,0.37
1339,0.01
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0.158
1354,0.539
1355,0.686
1356,0.682
1357,0.679
1358,0.621
1359,0.664
1360,0.623
1361,0.624
1362,0.37
1363,0.01
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0.158
1378,0.539
1379,0.686
1380,0.682
1381,0.679
1382,0.621
1383,0.664
1384,0.623
1385,0.624
1386,0.37
1387,0.01
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0.158
1402,0.539
1403,0.686
1404,0.682
1405,0.679
1406,0.621
1407,0.664
1408,0.623
1409,0.624
1410,0.37
1411,0.01
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0.051
1425,0.463
1426,0.774
1427,0.811
1428,0.808
1429,0.816
1430,0.806
1431,0.793
1432,0.78
1433,0.716
1434,0.558
1435,0.043
1436,0
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0.051
1449,0.463
1450,0.774
1451,0.811
1452,0.808
1453,0.816
1454,0.806
1455,0.793
1456,0.78
1457,0.716
1458,0.558
1459,0.043
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0.051
1473,0.463
1474,0.774
1475,0.811
1476,0.808
1477,0.816
1478,0.806
1479,0.793
1480,0.78
1481,0.716
1482,0.558
1483,0.043
1484,0
1485,0
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,0
1496,0.051
1497,0.463
1498,0.774
1499,0.811
1500,0.808
1501,0.816
1502,0.806
1503,0.793
1504,0.78
1505,0.716
1506,0.558
1507,0.043
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,0.051
1521,0.463
1522,0.774
1523,0.811
1524,0.808
1525,0.816
1526,0.806
1527,0.793
1528,0.78
1529,0.716
1530,0.558
1531,0.043
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0.051
1545,0.463
1546,0.774
1547,0.811
1548,0.808
1549,0.816
1550,0.806
1551,0.793
1552,0.78
1553,0.716
1554,0.558
1555,0.043
1556,0
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0.051
1569,0.463
1570,0.774
1571,0.811
1572,0.808
1573,0.816
1574,0.806
1575,0.793
1576,0.78
1577,0.716
1578,0.558
1579,0.043
1580,0
1581,0
1582,0
1583,0
1584,0
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,0.051
1594,0.463
1595,0.774
1596,0.811
1597,0.808
1598,0.816
1599,0.806
1600,0.793
1601,0.78
1602,0.716
1603,0.558
1604,0.043
1605,0
1606,0
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,0
1615,0
1616,0
1617,0.051
1618,0.463
1619,0.774
1620,0.811
1621,0.808
1622,0.816
1623,0.806
1624,0.793
1625,0.78
1626,0.716
1627,0.558
1628,0.043
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0.051
1642,0.463
1643,0.774
1644,0.811
1645,0.808
1646,0.816
1647,0.806
1648,0.793
1649,0.78
1650,0.716
1651,0.558
1652,0.043
1653,0
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0.051
1666,0.463
1667,0.774
1668,0.811
1669,0.808
1670,0.816
1671,0.806
1672,0.793
1673,0.78
1674,0.716
1675,0.558
1676,0.043
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,0
1688,0
1689,0.051
1690,0.463
1691,0.774
1692,0.811
1693,0.808
1694,0.816
1695,0.806
1696,0.793
1697,0.78
1698,0.716
1699,0.558
1700,0.043
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0.051
1714,0.463
1715,0.774
1716,0.811
1717,0.808
1718,0.816
1719,0.806
1720,0.793
1721,0.78
1722,0.716
1723,0.558
1724,0.043
1725,0
1726,0
1727,0
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,0
1736,0
1737,0.051
1738,0.463
1739,0.774
1740,0.811
1741,0.808
1742,0.816
1743,0.806
1744,0.793
1745,0.78
1746,0.716
1747,0.558
1748,0.043
1749,0
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0.051
1762,0.463
1763,0.774
1764,0.811
1765,0.808
1766,0.816
1767,0.806
1768,0.793
1769,0.78
1770,0.716
1771,0.558
1772,0.043
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0.051
1786,0.463
1787,0.774
1788,0.811
1789,0.808
1790,0.816
1791,0.806
1792,0.793
1793,0.78
1794,0.716
1795,0.558
1796,0.043
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0.051
1810,0.463
1811,0.774
1812,0.811
1813,0.808
1814,0.816
1815,0.806
1816,0.793
1817,0.78
1818,0.716
1819,0.558
1820,0.043
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,0.051
1834,0.463
1835,0.774
1836,0.811
1837,0.808
1838,0.816
1839,0.806
1840,0.793
1841,0.78
1842,0.716
1843,0.558
1844,0.043
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0.051
1858,0.463
1859,0.774
1860,0.811
1861,0.808
1862,0.816
1863,0.806
1864,0.793
1865,0.78
1866,0.716
1867,0.558
1868,0.043
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0.051
1882,0.463
1883,0.774
1884,0.811
1885,0.808
1886,0.816
1887,0.806
1888,0.793
1889,0.78
1890,0.716
1891,0.558
1892,0.043
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0.051
1906,0.463
1907,0.774
1908,0.811
1909,0.808
1910,0.816
1911,0.806
1912,0.793
1913,0.78
1914,0.716
1915,0.558
1916,0.043
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0.051
1930,0.463
1931,0.774
1932,0.811
1933,0.808
1934,0.816
1935,0.806
1936,0.793
1937,0.78
1938,0.716
1939,0.558
1940,0.043
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0.051
1954,0.463
1955,0.774
1956,0.811
1957,0.808
1958,0.816
1959,0.806
1960,0.793
1961,0.78
1962,0.716
1963,0.558
1964,0.043
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0.051
1978,0.463
1979,0.774
1980,0.811
1981,0.808
1982,0.816
1983,0.806
1984,0.793
1985,0.78
1986,0.716
1987,0.558
1988,0.043
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0.051
2002,0.463
2003,0.774
2004,0.811
2005,0.808
2006,0.816
2007,0.806
2008,0.793
2009,0.78
2010,0.716
2011,0.558
2012,0.043
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0.051
2026,0.463
2027,0.774
2028,0.811
2029,0.808
2030,0.816
2031,0.806
2032,0.793
2033,0.78
2034,0.716
2035,0.558
2036,0.043
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0.051
2050,0.463
2051,0.774
2052,0.811
2053,0.808
2054,0.816
2055,0.806
2056,0.793
2057,0.78
2058,0.716
2059,0.558
2060,0.043
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0
2072,0
2073,0.051
2074,0.463
2075,0.774
2076,0.811
2077,0.808
2078,0.816
2079,0.806
2080,0.793
2081,0.78
2082,0.716
2083,0.558
2084,0.043
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,0.051
2098,0.463
2099,0.774
2100,0.811
2101,0.808
2102,0.816
2103,0.806
2104,0.793
2105,0.78
2106,0.716
2107,0.558
2108,0.043
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0.051
2122,0.463
2123,0.774
2124,0.811
2125,0.808
2126,0.816
2127,0.806
2128,0.793
2129,0.78
2130,0.716
2131,0.558
2132,0.043
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0
2143,0
2144,0
2145,0.051
2146,0.463
2147,0.774
2148,0.811
2149,0.808
2150,0.816
2151,0.806
2152,0.793
2153,0.78
2154,0.716
2155,0.558
2156,0.043
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0
2168,0.004
2169,0.293
2170,0.77
2171,0.854
2172,0.916
2173,0.947
2174,0.936
2175,0.931
2176,0.929
2177,0.875
2178,0.817
2179,0.7
2180,0.331
2181,0.002
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0.004
2193,0.293
2194,0.77
2195,0.854
2196,0.916
2197,0.947
2198,0.936
2199,0.931
2200,0.929
2201,0.875
2202,0.817
2203,0.7
2204,0.331
2205,0.002
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0
2216,0.004
2217,0.293
2218,0.77
2219,0.854
2220,0.916
2221,0.947
2222,0.936
2223,0.931
2224,0.929
2225,0.875
2226,0.817
2227,0.7
2228,0.331
2229,0.002
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,0
2238,0
2239,0
2240,0.004
2241,0.293
2242,0.77
2243,0.854
2244,0.916
2245,0.947
2246,0.936
2247,0.931
2248,0.929
2249,0.875
2250,0.817
2251,0.7
2252,0.331
2253,0.002
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0
2263,0
2264,0.004
2265,0.293
2266,0.77
2267,0.854
2268,0.916
2269,0.947
2270,0.936
2271,0.931
2272,0.929
2273,0.875
2274,0.817
2275,0.7
2276,0.331
2277,0.002
2278,0
2279,0
2280,0
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0
2287,0
2288,0.004
2289,0.293
2290,0.77
2291,0.854
2292,0.916
2293,0.947
2294,0.936
2295,0.931
2296,0.929
2297,0.875
2298,0.817
2299,0.7
2300,0.331
2301,0.002
2302,0
2303,0
2304,0
2305,0
2306,0
2307,0
2308,0
2309,0
2310,0
2311,0
2312,0.004
2313,0.293
2314,0.77
2315,0.854
2316,0.916
2317,0.947
2318,0.936
2319,0.931
2320,0.929
2321,0.875
2322,0.817
2323,0.7
2324,0.331
2325,0.002
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0
2333,0
2334,0
2335,0
2336,0.004
2337,0.293
2338,0.77
2339,0.854
2340,0.916
2341,0.947
2342,0.936
2343,0.931
2344,0.929
2345,0.875
2346,0.817
2347,0.7
2348,0.331
2349,0.002
2350,0
2351,0
2352,0
2353,0
2354,0
2355,0
2356,0
2357,0
2358,0
2359,0
2360,0.004
2361,0.293
2362,0.77
2363,0.854
2364,0.916
2365,0.947
2366,0.936
2367,0.931
2368,0.929
2369,0.875
2370,0.817
2371,0.7
2372,0.331
2373,0.002
2374,0
2375,0
2376,0
2377,0
2378,0
2379,0
2380,0
2381,0
2382,0
2383,0
2384,0.004
2385,0.293
2386,0.77
2387,0.854
2388,0.916
2389,0.947
2390,0.936
2391,0.931
2392,0.929
2393,0.875
2394,0.817
2395,0.7
2396,0.331
2397,0.002
2398,0
2399,0
2400,0
2401,0
2402,0
2403,0
2404,0
2405,0
2406,0
2407,0
2408,0.004
2409,0.293
2410,0.77
2411,0.854
2412,0.916
2413,0.947
2414,0.936
2415,0.931
2416,0.929
2417,0.875
2418,0.817
2419,0.7
2420,0.331
2421,0.002
2422,0
2423,0
2424,0
2425,0
2426,0
2427,0
2428,0
2429,0
2430,0
2431,0
2432,0.004
2433,0.293
2434,0.77
2435,0.854
2436,0.916
2437,0.947
2438,0.936
2439,0.931
2440,0.929
2441,0.875
2442,0.817
2443,0.7
2444,0.331
2445,0.002
2446,0
2447,0
2448,0
2449,0
2450,0
2451,0
2452,0
2453,0
2454,0
2455,0
2456,0.004
2457,0.293
2458,0.77
2459,0.854
2460,0.916
2461,0.947
2462,0.936
2463,0.931
2464,0.929
2465,0.875
2466,0.817
2467,0.7
2468,0.331
2469,0.002
2470,0
2471,0
2472,0
2473,0
2474,0
2475,0
2476,0
2477,0
2478,0
2479,0
2480,0.004
2481,0.293
2482,0.77
2483,0.854
2484,0.916
2485,0.947
2486,0.936
2487,0.931
2488,0.929
2489,0.875
2490,0.817
2491,0.7
2492,0.331
2493,0.002
2494,0
2495,0
2496,0
2497,0
2498,0
2499,0
2500,0
2501,0
2502,0
2503,0
2504,0.004
2505,0.293
2506,0.77
2507,0.854
2508,0.916
2509,0.947
2510,0.936
2511,0.931
2512,0.929
2513,0.875
2514,0.817
